id_corrida,temporada,grande_premio,pais,data
1,1991,Grande Prêmio do Brasil,Brasil,1991-03-24
2,1993,Grande Prêmio da Europa,Reino Unido,1993-04-11
3,2000,Grande Prêmio da Itália,Itália,2000-09-10
4,2008,Grande Prêmio do Brasil,Brasil,2008-11-02
5,2021,Grande Prêmio de Abu Dhabi,Emirados Árabes Unidos,2021-12-12
